Main

instruments-with-speed:
instrument1	2	10,11,10,11,10,12,10,8,9,10,8,6,7,8,6,-4
instrument3	4	1,2,3,4,5,6,7,8,9,10,11,12,12,12,12,12,11,10,9,8,7,6,5,4,3,2,1,1,-2

song:
-	volume(12),instrument1,G#3	-
		
volume(8),instrument1,G#3		
		
	D#4	
		
D#4		
		
	G#4	
		
G#4		
		
	D#4	
		
D#4		
		
	A#4	
		
A#4		
		
	D#4	
		
D#4		
		
	B4	
		
B4		
		
		
		
		
		
	G#3	
		
G#3		
		
	D#4	
		
D#4		
		
	G#4	
		
G#4		
		
	D#4	
		
D#4		
		
	A#4	
		
A#4		
		
	D#4	
		
D#4		
		
	B4	
		
B4		
		
	D#4	
		
D#4		
		
	E3	
		
E3		
		
	B3	
		
B3		
		
	G#4	
		
G#4		
		
	B3	
		
B3		
		
	A#4	
		
A#4		
		
	B3	
		
B3		
		
	B4	
		
B4		
		
		
		
		
		
	E3	
		
E3		
		
	B3	
		
B3		
		
	G#4	
		
G#4		
		
	B3	
		
B3		
		
	A#4	
		
A#4		
		
	B3	
		
B3		
		
	B4	
		
B4		
		
	B3	
		
B3		
		
	G#3	volume(10),instrument3,G#2
		
volume(8),instrument1,G#3		
		
	D#4	
		
D#4		
		
	G#4	
		
G#4		
		
	D#4	
		
D#4		
		
	A#4	D#2
		
A#4		
		
	D#4	
		
D#4		
		
	B4	
		
B4		
		
		
		
		
		
	G#3	G#2
		
G#3		
		
	D#4	
		
D#4		
		
	G#4	
		
G#4		
		
	D#4	
		
D#4		
		
	A#4	D#2
		
A#4		
		
	D#4	
		
D#4		
		
	B4	
		
B4		
		
	D#4	
		
D#4		
		
	E3	E2
		
E2		
		
	B3	
		
B3		
		
	G#4	
		
G#4		
		
	B3	
		
B3		
		
	A#4	B2
		
A#4		
		
	B3	
		
B3		
		
	B4	
		
B4		
		
		
		
		
		
	E3	E2
		
E3		
		
	B3	
		
B3		
		
	G#4	
		
G#4		
		
	B3	
		
B3		
		
	A#4	B2
		
A#4		
		
	B3	
		
B3		
		
	B4	
		
B4		
		
	B3	
		
B3		
		
	G#3	G#2
		
		
		
	D#4	
		
		
		
volume(15),D#6	G#4	
		
		
		
	D#4	
		
		
		
C#6	A#4	D#2
		
		
		
	D#4	
		
		
		
B5	B4	
		
		
		
		
		
		
		
	G#3	instrument3,G#2
		
		
		
	D#4	
		
		
		
D#6	G#4	
		
		
		
	D#4	
		
		
		
C#6	A#4	D#2
		
		
		
	D#4	
		
		
		
B5	B4	
		
		
		
	D#4	
		
		
		
A#5	E3	E2
		
		
		
	B3	
		
		
		
	G#4	
		
		
		
	B3	
		
		
		
G#5	A#4	B2
		
		
		
	B3	
		
		
		
	B4	
		
volume(8),B4		
		
		
		
		
		
	E3	instrument3,E2
		
E3		
		
	B3	
		
B3		
		
	G#4	
		
G#4		
		
	B3	
		
B3		
		
	A#4	B2
		
A#4		
		
	B3	
		
B3		
		
	B4	
		
B4		
		
	B3	
		
B3		
		
	G#3	G#2
		
		
		
	D#4	
		
		
		
volume(15),G#5	G#4	
		
		
		
	D#4	
		
		
		
A#5	A#4	D#2
		
		
		
	D#4	
		
		
		
B5	B4	
		
		
		
		
		
		
		
	G#3	instrument3,G#2
		
		
		
	D#4	
		
		
		
G#5	G#4	
		
		
		
	D#4	
		
		
		
A#5	A#4	D#2
		
		
		
	D#4	
		
		
		
B5	B4	
		
		
		
	D#4	
		
		
		
C#6	E3	E2
		
		
		
	B3	
		
		
		
	G#4	
		
		
		
	B3	
		
		
		
D#6	A#4	B2
		
		
		
	B3	
		
		
		
G#5	B4	
		
		
		
		
		
		
		
	E3	instrument3,E2
		
volume(8),E3		
		
	B3	
		
B3		
		
	G#4	
		
G#4		
		
	B3	
		
B3		
		
volume(15),A#5	A#4	B2
		
		
		
	B3	
		
		
		
B5	B4	
		
		
		
	B3	
		
		
		
A#5	F#3	A#2
		
		
		
	C#4	
		
		
		
	F#4	
		
		
		
G#5	C#4	
		
		
		
F#5	G#4	F#2
		
		
		
	C#4	
		
		
		
E5	F#4	
		
		
		
	C#4	
		
		
		
F#5	B3	B2
		
		
		
	D#4	
		
		
		
	F#4	
		
		
		
	D#4	
		
		
		
	A#4	F#2
		
		
		
	D#4	
		
		
		
	F#4	
		
		
		
	D#4	
		
		
		
F#5	A3	A2
		
		
		
	D4	
		
		
		
	F#4	
		
		
		
	D4	
		
		
		
E5	A4	D2
		
		
		
	D4	
		
		
		
D5	F#4	
		
		
		
	D4	
		
		
		
C#5	A3	F#2
		
		
		
	C#4	
		
		
		
	F#4	
		
		
		
	C#4	
		
		
		
A4	A4	C#2
		
		
		
	C#4	
		
		
		
	F#4	
		
		
		
	C#4	
		
		
		
F#5	A3	A2
		
		
		
	D4	
		
		
		
	F#4	
		
		
		
	D4	
		
		
		
E5	A4	D2
		
		
		
	D4	
		
		
		
F#5	F#4	
		
		
		
	D4	
		
		
		
A5	A3	F#2
		
		
		
	C#4	
		
		
		
	F#4	
		
		
		
	C#4	
		
		
		
	A4	C#2
		
		
		
	C#4	
		
		
		
	F#4	
		
		
		
	C#4	
		
		
		
volume(15),F#5	A3	
		
		
		
		
		
		
		
volume(12),A4		
		
B4		
		
C#5	-	-
		
D5		
		
E5		
		
volume(13),F#5		
		
G5		
		
A5		
		
B5		
		
volume(14),C#6		
		
D6		
		
E6		
		
volume(15),F#6	volume(12),A3	volume(10),instrument3,A2
		
		
		
	D4	
		
		
		
	F#4	
		
		
		
	D4	
		
		
		
E6	A4	F#2
		
		
		
	D4	
		
		
		
D6	F#4	
		
		
		
	D4	
		
		
		
C#6	A3	A2
		
		
		
	C#4	
		
		
		
	F#4	
		
		
		
	C#4	
		
		
		
A5	A4	F#2
		
		
		
	C#4	
		
		
		
	F#4	
		
		
		
	C#4	
		
		
		
F#6	A3	A2
		
		
		
	D4	
		
		
		
	F#4	
		
		
		
	D4	
		
		
		
E6	A4	D2
		
		
		
	D4	
		
		
		
F#6	F#4	
		
		
		
	D4	
		
		
		
A6	A3	F#2
		
		
		
	C#4	
		
		
		
	F#4	
		
		
		
	C#4	
		
		
		
	A4	C#2
		
		
		
	C#4	
		
		
		
volume(14),E6	F#4	
		
		
		
	C#4	
		
		
		
volume(12),D6	G3	B2
		
		
		
C#6	B3	
		
		
		
B5	E4	
		
		
		
A5	B3	
		
		
		
G5	G4	E2
		
		
		
F#5	B3	
		
		
		
C#6	E4	
		
		
		
B5	B3	
		
		
		
A#5	F#3	A#2
		
		
		
	A#3	
		
		
		
	C#4	
		
		
		
	A#3	
		
		
		
	F#4	C#2
		
		
		
	A#3	
		
		
		
	C#4	
		
		
		
	A#3	
		
		
		
F#5	F#3	F#2
		
		
		
	A#3	
		
		
		
	C#4	
		
		
		
	A#3	
		
		
		
-	F#4	C#2
		
		
		
	A#3	
		
		
		
	C#4	
		
		
		
	A#3	
		
		
		
