Main		
		
instruments-with-speed:		
instrument3	3	2,3,4,5,6,7,8,9,10,11,12,12,12,12,12,11,10,9,8,7,6,5,4,3,2,1,1,-2
instrument1	5	11,9,5,7,4,1,0,2,1
instrument2	2	10,11,10,10,9,9,8,8,7,6,5,4
		
sfx:
sfx_drum_shorter_c	"sfx_drum_shorter_c.asm"
sfx_drum_shorter_g	"sfx_drum_shorter_g.asm"
sfx_drum_shorter_g_sharp	"sfx_drum_shorter_g_sharp.asm"
sfx_drum_shorter_f_sharp	"sfx_drum_shorter_f_sharp.asm"
sfx_short_hihat	"sfx_short_hihat.asm"
		
song:		
-	-	volume(12),instrument3,C3
		
		
		
		
		
		
		
		G2
		
		
		
		
		
		
		
		C3
		
		
		
		
		
		
		
		G2
		
		
		
		
		
		
		
volume(12),instrument1,C4		C3
D#4		
D4		
D#4		
C4		
D#4		
D4		
D#4		
volume(12),B3		G2
volume(10),D#4		
D4		
D#4		
D4		
D#4		
D4		
D#4		
volume(12),C4		C3
D#4		
D4		
D#4		
C4		
D#4		
D4		
D#4		
volume(12),B3		G3
volume(10),D#4		
D4		
D#4		
D4		
D#4		
D4		
D#4		
volume(12),C4	instrument2,C4	C3
D#4		
D4		
D#4	D4	
C4	D#4	
D#4		
D4	C4	
D#4		
volume(12),B3	B3	G2
volume(10),D#4	C4	
D4	D4	
D#4		
D4		
D#4		
D4		
D#4		
volume(12),C4	C4	C3
D#4		
D4		
D#4	D4	
C4	D#4	
D#4		
D4	C4	
D#4		
volume(12),B3	B3	G3
volume(10),D#4	C4	
D4	D4	
D#4		
D4	G4	
D#4		
D4		
D#4		
volume(12),C4	C4	C3
D#4		
D4		
D#4	D4	
C4	D#4	
D#4		
D4	C4	
D#4		
volume(12),B3	B3	G2
volume(10),D#4	C4	
D4	D4	
D#4		
volume(12),B3		
D4		
volume(10),C#4		
D4		
volume(12),F3	G#4	volume(10),G#2
G#3		
G3		
G#3	G4	
F3	F4	
G#3		
G3	G4	
G#3	G#4	
volume(12),D#3	G4	G2
volume(10),G3		
F3		
volume(12),G3	F4	
volume(10),D#3	D#4	
volume(12),G3		
F3		
G3		
D3	C#4	volume(9),F#2
