Main		
		
instruments-with-speed:		
instrument1	3	12,10,9,8,7,8,6,5,4,3,5,4,3,2,1,0,-1
		
		
song:		
instrument1,re1	instrument1,-	instrument1,-
		
		
re1		
re1		
		
		
		
re1		
		
		
re1		
re1		
		
		
		
do#1		
		
		
do#1		
do#1		
		
		
		
do#1		
		
		
do#1		
do#1		
		
		
		
instrument1,re1	instrument1,re2	instrument1,-
	re3	
	fa3	
re1	la3	
re1	re4	
		
	re#4	
		
re1	do#4	
		
		
re1		
re1		
		
	-	
		
do#1	do#2	
	la#2	
	mi3	
do#1	sol3	
do#1	do#4	
		
	la#3	
		
do#1	re4	
		
		
do#1		
do#1		
		
	-	
		
