Voyage Voyage

instruments:
piano	13,13,12,11,10,10,9,9,8,8,7,7,6
shortwindecho	6,9,14,14,13,13,12,12,11,10,9,8,7,6,5,4,4,3,6,10,8,6,5,4,3,2,2,2,4,8,6,5,4,3,2,2,2,2,2,1,1,1,1,0

sfx:
sfx_short_hihat	"sfx_short_hihat.asm"
sfx_drum_shorter_g_sharp	"sfx_drum_short_g_sharp.asm"
sfx_drum_shorter_f_sharp	"sfx_drum_short_f_sharp.asm"

song:
repeat(2),volume(12),piano,G#2	piano,volume(12),B2	piano,-
		
G#2	B2	
		
G#2	B2	
		
G#2	B2	
		
G#2	A#2	
		
G#2	A#2	
		
G#2	A#2	
		
G#2	A#2	
		
endrepeat,G#2	shortwindecho,volume(15),A#4	B2
		
G#2	B4	B2
		
G#2	D#5	B2
		
G#2	G#4	B2
		
G#2	A#4	A#2
		
G#2	B4	A#2
		
G#2		A#2
		
G#2	F#4	A#2
		
G#2		B2
		
G#2		B2
		
G#2		B2
		
G#2		B2
		
G#2		A#2
		
G#2		A#2
		
G#2		A#2
		
G#2		A#2
		
piano,G#2	A#4	piano,B2
		
G#2	B4	B2
		
G#2	F#5	B2
		
G#2	A#4	B2
		
G#2	B4	A#2
		
G#2	E5	A#2
		
G#2	A#4	A#2
		
G#2	B4	A#2
		
G#2	D#5	B2
		
G#2		B2
		
G#2		B2
		
G#2		B2
		
G#2		A#2
		
G#2		A#2
		
G#2	D#5	A#2
		
G#2		A#2
		
A#2	D#5	F#2
		
A#2		F#2
		
A#2	E5	F#2
		
A#2	C#5	F#2
		
G#2		F#2
		
G#2		F#2
		
G#2		F#2
		
G#2		F#2
		
piano,A#2	shortwindecho,-	F#2
		
-	-	-
		
		
		
		
		
		
		
		
		
	C#5	
		
	B4	
		
B2	F#5	G#1
B2		G#2
B2	G#5	sfx(sfx_short_hihat)
B2		G#2
B2		G#1
B2		G#2
B2		sfx(sfx_short_hihat)
B2		G#2
B2		G#1
		
B2		sfx(sfx_short_hihat)
B2		G#2
B2		G#1
		
B2		sfx(sfx_short_hihat)
		
G#2		E1
G#2		E2
G#2		sfx(sfx_short_hihat)
G#2		E2
G#2		E1
G#2		E2
G#2		sfx(sfx_short_hihat)
G#2		E2
G#2		E1
		
G#2		sfx(sfx_short_hihat)
G#2		E2
G#2		E1
		
G#2	G#5	sfx(sfx_short_hihat)
		
A#2	C#6	F#1
A#2		F#2
A#2		sfx(sfx_short_hihat)
A#2		F#2
A#2		F#1
A#2		F#2
A#2	B5	sfx(sfx_short_hihat)
A#2		F#2
A#2	A#5	F#1
		
A#2	A#5	sfx(sfx_short_hihat)
A#2		F#2
A#2	G#5	F#1
		
A#2	G#5	sfx(sfx_short_hihat)
		
F#2		D#1
F#2		D#2
F#2	F#5	sfx(sfx_short_hihat)
F#2		D#2
F#2		D#1
F#2		D#2
F#2		sfx(sfx_short_hihat)
F#2		D#2
F#2		D#1
		
F#2		sfx(sfx_short_hihat)
F#2		D#2
F#2		D#1
		
F#2		sfx(sfx_short_hihat)
		
B2	B5	G#1
B2		G#2
B2	G#5	sfx(sfx_short_hihat)
B2		G#2
B2		G#1
B2		G#2
B2		sfx(sfx_short_hihat)
B2		G#2
B2		G#1
		
B2		sfx(sfx_short_hihat)
B2		G#2
B2		G#1
		
B2		sfx(sfx_short_hihat)
		
G#2		E1
G#2		E2
G#2		sfx(sfx_short_hihat)
G#2		E2
G#2		E1
G#2		E2
G#2		sfx(sfx_short_hihat)
G#2		E2
G#2		E1
		
G#2		sfx(sfx_short_hihat)
G#2		E2
G#2		E1
		
G#2	G#5	sfx(sfx_short_hihat)
		
A#2	C#6	F#1
A#2		F#2
A#2		sfx(sfx_short_hihat)
A#2		F#2
A#2		F#1
A#2		F#2
A#2	B5	sfx(sfx_short_hihat)
A#2		F#2
A#2	A#5	F#1
		
A#2	A#5	sfx(sfx_short_hihat)
A#2		F#2
A#2	G#5	F#1
		
A#2	G#5	sfx(sfx_short_hihat)
		
F#2		D#1
F#2		D#2
F#2	G5	sfx(sfx_short_hihat)
F#2		D#2
F#2		D#1
F#2		D#2
F#2		sfx(sfx_short_hihat)
F#2		D#2
F#2		D#1
		
F#2		sfx(sfx_short_hihat)
F#2		D#2
F#2		D#1
		
F#2		sfx(sfx_short_hihat)
		
